time,seconds_elapsed,z,y,x
1697853778091086000,0.176086181640625,-0.03787364438176155,-0.0012217304902151227,0.01466076634824276
1697853778101096000,0.186095947265625,-0.03787364438176155,-0.001832595793530345,0.015882495790719986
1697853778113758000,0.198758056640625,-0.03726277872920036,-0.0006108652451075613,0.015271631069481373
1697853778130955000,0.215955078125,-0.03787364438176155,-0.001832595793530345,0.01466076634824276
1697853778140964000,0.225964111328125,-0.03787364438176155,-0.0006108652451075613,0.015271631069481373
1697853778151286000,0.2362861328125,-0.03726277872920036,-0.001832595793530345,0.015882495790719986
1697853778162082000,0.24708203125,-0.03726277872920036,-0.0006108652451075613,0.01466076634824276
1697853778171347000,0.256346923828125,-0.03726277872920036,-0.0012217304902151227,0.015271631069481373
1697853778181464000,0.266464111328125,-0.03787364438176155,-0.0012217304902151227,0.014049900695681572
1697853778192554000,0.277553955078125,-0.03726277872920036,-0.0012217304902151227,0.01466076634824276
1697853778202009000,0.287009033203125,-0.03726277872920036,-0.0012217304902151227,0.015271631069481373
1697853778212190000,0.29718994140625,-0.03787364438176155,-0.0006108652451075613,0.015271631069481373
1697853778220948000,0.305947998046875,-0.03787364438176155,-0.0006108652451075613,0.015882495790719986
1697853778230979000,0.31597900390625,-0.03848451003432274,-0.0012217304902151227,0.01466076634824276
1697853778240952000,0.3259521484375,-0.03848451003432274,-0.001832595793530345,0.015271631069481373
1697853778250930000,0.335929931640625,-0.03787364438176155,-0.001832595793530345,0.015882495790719986
1697853778260944000,0.34594384765625,-0.03787364438176155,-0.001832595793530345,0.015271631069481373
1697853778271089000,0.3560888671875,-0.03787364438176155,-0.0006108652451075613,0.015271631069481373
1697853778280947000,0.365947021484375,-0.03787364438176155,-0.0006108652451075613,0.015271631069481373
1697853778291075000,0.376074951171875,-0.03787364438176155,-0.0012217304902151227,0.015882495790719986
1697853778301037000,0.386037109375,-0.03787364438176155,-0.0012217304902151227,0.015271631069481373
1697853778310964000,0.3959638671875,-0.03726277872920036,-0.0012217304902151227,0.01466076634824276
1697853778321137000,0.406136962890625,-0.03787364438176155,-0.001832595793530345,0.015271631069481373
1697853778331067000,0.41606689453125,-0.03726277872920036,-0.001832595793530345,0.015882495790719986
1697853778341745000,0.426744873046875,-0.036651913076639175,-0.0006108652451075613,0.015882495790719986
1697853778351010000,0.436010009765625,-0.03726277872920036,-0.0006108652451075613,0.015882495790719986
1697853778361054000,0.446053955078125,-0.03787364438176155,-0.001832595793530345,0.015882495790719986
1697853778371101000,0.456100830078125,-0.03787364438176155,-0.001832595793530345,0.015882495790719986
1697853778380980000,0.46597998046875,-0.03787364438176155,-0.0012217304902151227,0.015271631069481373
1697853778390985000,0.47598486328125,-0.03787364438176155,-0.001832595793530345,0.01466076634824276
1697853778401014000,0.486013916015625,-0.03787364438176155,-0.0012217304902151227,0.01466076634824276
1697853778411035000,0.496034912109375,-0.03848451003432274,-0.001832595793530345,0.015882495790719986
1697853778421144000,0.50614404296875,-0.03848451003432274,-0.0012217304902151227,0.015882495790719986
1697853778431015000,0.516014892578125,-0.03787364438176155,-0.0012217304902151227,0.015882495790719986
1697853778441037000,0.526037109375,-0.03787364438176155,-0.001832595793530345,0.015882495790719986
1697853778451018000,0.53601806640625,-0.03726277872920036,-0.0012217304902151227,0.015271631069481373
1697853778461000000,0.546,-0.03787364438176155,-0.0012217304902151227,0.015882495790719986
1697853778471084000,0.556083984375,-0.039095375686883926,-0.0012217304902151227,0.015882495790719986
1697853778480952000,0.5659521484375,-0.03787364438176155,-0.0012217304902151227,0.015882495790719986
1697853778490950000,0.575949951171875,-0.03848451003432274,-0.0012217304902151227,0.015271631069481373
1697853778500996000,0.58599609375,-0.03848451003432274,-0.0012217304902151227,0.01466076634824276
1697853778511023000,0.596023193359375,-0.03848451003432274,-0.001832595793530345,0.015271631069481373
1697853778520996000,0.60599609375,-0.03787364438176155,-0.0024434609804302454,0.015882495790719986
1697853778530954000,0.6159541015625,-0.03787364438176155,-0.001832595793530345,0.015882495790719986
1697853778541057000,0.62605712890625,-0.039095375686883926,-0.0012217304902151227,0.015271631069481373
1697853778551025000,0.63602490234375,-0.03848451003432274,-0.0012217304902151227,0.01466076634824276
1697853778560956000,0.645955810546875,-0.039095375686883926,-0.001832595793530345,0.014049900695681572
1697853778570961000,0.6559609375,-0.03726277872920036,-0.001832595793530345,0.01466076634824276
1697853778581034000,0.666033935546875,-0.03787364438176155,-0.001832595793530345,0.015271631069481373
1697853778590968000,0.675968017578125,-0.03787364438176155,-0.0012217304902151227,0.015271631069481373
1697853778601200000,0.6862001953125,-0.03726277872920036,-0.001832595793530345,0.015271631069481373
1697853778610974000,0.695973876953125,-0.03787364438176155,-0.0012217304902151227,0.01466076634824276
1697853778620968000,0.705968017578125,-0.03726277872920036,-0.0012217304902151227,0.015271631069481373
1697853778631050000,0.716050048828125,-0.03787364438176155,-0.0012217304902151227,0.01466076634824276
1697853778640974000,0.72597412109375,-0.03848451003432274,-0.001832595793530345,0.016493361443281174
1697853778651306000,0.736305908203125,-0.03787364438176155,-0.0012217304902151227,0.016493361443281174
1697853778661174000,0.746174072265625,-0.03726277872920036,-0.0012217304902151227,0.016493361443281174
1697853778671446000,0.756446044921875,-0.03787364438176155,-0.0012217304902151227,0.015882495790719986
1697853778681121000,0.76612109375,-0.03787364438176155,-0.001832595793530345,0.015271631069481373
1697853778691091000,0.776091064453125,-0.03787364438176155,-0.0006108652451075613,0.01466076634824276
1697853778701332000,0.78633203125,-0.036651913076639175,-0.0012217304902151227,0.01466076634824276
