time,seconds_elapsed,z,y,x
1697853777923708000,0.0087080078125,0.04253864288330078,0.003387451171875,-0.00534917414188385
1697853777933829000,0.0188291015625,0.035346031188964844,0.010633349418640137,-0.007746800780296326
1697853777943809000,0.02880908203125,0.04492378234863281,0.009441256523132324,0.006675258278846741
1697853777953755000,0.0387548828125,0.041339874267578125,0.008191943168640137,-0.0064872801303863525
1697853777963734000,0.048734130859375,0.024587631225585938,0.01292884349822998,0.0018483102321624756
1697853777973636000,0.058635986328125,0.035370826721191406,0.01165616512298584,0.011328831315040588
1697853777983637000,0.068636962890625,0.032965660095214844,0.01291656494140625,0.004094406962394714
1697853777993636000,0.078635986328125,0.025786399841308594,0.010493874549865723,0.014784649014472961
1697853778003580000,0.088579833984375,0.04135417938232422,0.017632365226745605,0.011143654584884644
1697853778013639000,0.098638916015625,0.043755531311035156,0.018776297569274902,0.012279823422431946
1697853778023731000,0.10873095703125,0.054541587829589844,0.01868283748626709,0.008596286177635193
1697853778033669000,0.118669189453125,0.06054210662841797,0.02098250389099121,0.004987508058547974
1697853778043697000,0.12869677734375,0.058147430419921875,0.012610435485839844,-0.0009831339120864868
1697853778054658000,0.139657958984375,0.06293010711669922,0.0150529146194458,-0.014032885432243347
1697853778064872000,0.149871826171875,0.05693244934082031,0.0007690191268920898,-0.0020248591899871826
1697853778074627000,0.159626953125,0.048553466796875,0.001966118812561035,-0.011601671576499939
1697853778085006000,0.170006103515625,0.031785011291503906,0.005627989768981934,-0.012681007385253906
1697853778094609000,0.17960888671875,0.03057861328125,0.005693793296813965,-0.006689786911010742
1697853778104747000,0.1897470703125,0.03297901153564453,0.004443764686584473,-0.005546301603317261
1697853778115666000,0.200666015625,0.048526763916015625,0.003346085548400879,0.0016163438558578491
1697853778124641000,0.20964111328125,0.053315162658691406,0.017711281776428223,-0.003172054886817932
1697853778134640000,0.21964013671875,0.05451202392578125,0.018908381462097168,-0.001974955201148987
1697853778144665000,0.2296650390625,0.043738365173339844,0.00813448429107666,-0.0007778555154800415
1697853778154584000,0.239583984375,0.052117347717285156,0.004543185234069824,-0.005566254258155823
1697853778165429000,0.250428955078125,0.04253864288330078,0.0033653974533081055,0.002873837947845459
1697853778177340000,0.26233984375,0.047326087951660156,0.008158087730407715,-0.0007206350564956665
1697853778190832400,0.275832275390625,0.044910430908203125,0.019077420234680176,-0.0031036585569381714
1697853778206771000,0.29177099609375,0.04490947723388672,0.016687870025634766,-0.0007127076387405396
1697853778217944000,0.302944091796875,0.06406307220458984,0.009511351585388184,-0.001843765377998352
1697853778234662000,0.319661865234375,0.03892230987548828,0.0023491382598876953,-0.004166349768638611
1697853778244603000,0.329602783203125,0.03532886505126953,0.00594782829284668,-0.007801905274391174
1697853778254589000,0.3395888671875,0.04012298583984375,0.002312302589416504,-0.01022803783416748
1697853778264728000,0.34972802734375,0.049698829650878906,0.004712820053100586,-0.0019019991159439087
1697853778275123000,0.360123046875,0.04610729217529297,0.007113337516784668,-0.0018361955881118774
1697853778284598000,0.369597900390625,0.05089569091796875,0.011907815933227539,0.001819029450416565
1697853778294681000,0.37968115234375,0.04372215270996094,0.011854052543640137,-0.008949100971221924
1697853778304846000,0.38984619140625,0.04850959777832031,0.007071852684020996,0.004224672913551331
1697853778314691000,0.399691162109375,0.041321754455566406,0.01787436008453369,0.004205226898193359
1697853778324603000,0.409602783203125,0.04850292205810547,0.0023180246353149414,0.0053478628396987915
1697853778334598000,0.419597900390625,0.06048107147216797,0.008249878883361816,-0.006685361266136169
1697853778344740000,0.429739990234375,0.055703163146972656,0.009385943412780762,-0.011400774121284485
1697853778354614000,0.439614013671875,0.047331809997558594,0.008138418197631836,-0.005363598465919495
1697853778364603000,0.449602783203125,0.052127838134765625,0.009282350540161133,-0.010205760598182678
1697853778374735000,0.459735107421875,0.04734516143798828,0.0020627975463867188,-0.012617021799087524
1697853778384633000,0.469633056640625,0.0401611328125,0.003265857696533203,-0.0066258907318115234
1697853778394670000,0.479670166015625,0.034165382385253906,0.0021342039108276367,-0.005482330918312073
1697853778404657000,0.489656982421875,0.04852008819580078,0.012973666191101074,0.004100054502487183
1697853778414670000,0.499670166015625,0.04852771759033203,0.010527610778808594,0.0076468586921691895
1697853778424609000,0.509609130859375,0.042550086975097656,0.014055132865905762,0.006453081965446472
1697853778434650000,0.519650146484375,0.04495429992675781,0.011608242988586426,0.00047320127487182617
1697853778444764000,0.529763916015625,0.044960975646972656,0.011555194854736328,-0.0007775276899337769
1697853778454662000,0.539661865234375,0.05094337463378906,0.004386186599731445,0.011158645153045654
1697853778464647000,0.54964697265625,0.05933189392089844,0.009121537208557129,-0.0008067041635513306
1697853778474713000,0.559713134765625,0.05694580078125,0.009070634841918945,0.00041453540325164795
1697853778484636000,0.569635986328125,0.04737663269042969,0.013806700706481934,0.0004200935363769531
1697853778494607000,0.579607177734375,0.055755615234375,0.010222673416137695,0.0016320198774337769
1697853778504563000,0.58956298828125,0.04856395721435547,0.001910090446472168,-0.00792992115020752
1697853778514623000,0.599623046875,0.05095481872558594,0.01628255844116211,-0.0007917732000350952
1697853778524583000,0.6095830078125,0.036599159240722656,0.013817191123962402,-0.006875589489936829
1697853778534628000,0.619628173828125,0.039000511169433594,0.010173320770263672,-0.009323060512542725
1697853778544727000,0.62972705078125,0.0366058349609375,0.0077877044677734375,-0.0021162182092666626
1697853778555081000,0.6400810546875,0.05335521697998047,0.011444926261901855,-0.00928407907485962
1697853778564613000,0.649613037109375,0.05453681945800781,0.015136122703552246,-0.0116710364818573
