time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1699665528528201500,2.269201416015625,0,20,100,8.5,0.07000000029802322,0,62,-51.1217451,-30.0758652
1699665529662830800,3.403830810546875,10,20,100,9.5,0.3666779100894928,180,64,-51.1217166,-30.0758705
1699665530658192400,4.3991923828125,10,20,100,9.833000183105469,0.7350819706916809,180,49,-51.1216959,-30.0758802
1699665531683376000,5.424376220703125,10,20,100,10.125,0.37794411182403564,8.204257824218075e-7,51,-51.1216909,-30.0758629
1699665532668127200,6.409127197265625,10,20,100,9.899999618530273,0.3617757260799408,1.04434150216548e-9,53,-51.1216909,-30.0758599
1699665533681073700,7.42207373046875,10,20,100,10,0.2920081615447998,0,53,-51.1216909,-30.0758587
1699665534685186000,8.42618603515625,10,20,100,9.699999809265137,0.22638346254825592,0,53,-51.1216909,-30.0758583
1699665535664023300,9.405023193359375,10,20,100,9.5,0.17455574870109558,0,53,-51.121691,-30.0758581
1699665536677585200,10.418585205078125,10,20,100,9.5,0.12918199598789215,0,53,-51.121691,-30.0758583
1699665537661495600,11.40249560546875,0,20,100,9.166000366210938,0.09096575528383255,0,53,-51.121691,-30.0758586
1699665538674133500,12.415133544921876,0,20,100,9.166000366210938,0.06228487938642502,0,53,-51.121691,-30.0758589
1699665539684259300,13.42525927734375,0,20,100,9.083000183105469,0.03966100513935089,0,53,-51.121691,-30.0758592
1699665540678674700,14.4196748046875,0,20,100,8.899999618530273,0.024311747401952744,0,53,-51.121691,-30.0758595
1699665541659912200,15.400912109375,0,20,100,8.833000183105469,0.013882321305572987,0,53,-51.121691,-30.0758597
1699665542675335000,16.4163349609375,0,20,100,8.399999618530273,0.005995437502861023,0,53,-51.121691,-30.0758598
1699665543660592000,17.401592041015626,0,20,100,8.083000183105469,0.0012595411390066147,0,53,-51.121691,-30.07586
1699665544655617000,18.396616943359376,0,20,100,7.583000183105469,0.0009449069038964808,0,53,-51.121691,-30.07586
1699665545663070000,19.404070068359374,10,20,100,7.165999889373779,0.10266289114952087,358.7932434082031,52,-51.1216937,-30.0758566
1699665546684679200,20.42567919921875,10,20,100,6.300000190734863,0.3069533407688141,339.94140625,49,-51.1217063,-30.075849
1699665547683506700,21.424506591796874,10,20,100,5.800000190734863,1.0975703001022339,317.7646179199219,47,-51.1217462,-30.0758275
1699665548672634000,22.413634033203124,10,20,100,5.400000095367432,2.6940033435821533,304.67291259765625,44,-51.1218197,-30.0757974
1699665549672066800,23.41306689453125,10,20,100,5.099999904632568,4.895017147064209,298.9878234863281,43,-51.1219251,-30.075757
1699665550661920500,24.40292041015625,10,20,100,5,7.192317008972168,296.4781494140625,41,-51.1220514,-30.07571
1699665551661991000,25.402990966796875,10,20,100,4.75,10.215693473815918,296.38140869140625,39,-51.1222199,-30.0756398
1699665552661912800,26.402912841796876,10,20,100,4.583000183105469,13.172953605651855,297.5180358886719,37,-51.1224102,-30.0755492
1699665553661502700,27.402502685546875,10,20,100,4.5,15.552075386047363,298.21600341796875,37,-51.122608,-30.0754531
1699665554667145500,28.4081455078125,10,20,100,4.5,17.518083572387695,298.4802551269531,37,-51.122815,-30.075354
1699665555674049000,29.415049072265624,10,20,100,4.599999904632568,18.943052291870117,298.5483703613281,38,-51.1230234,-30.0752546
1699665556659003400,30.40000341796875,10,20,100,4.665999889373779,19.177446365356445,298.1087646484375,38,-51.1232054,-30.0751719
1699665557659039200,31.400039306640625,10,20,100,4.833000183105469,16.771297454833984,298.0663757324219,39,-51.1233043,-30.0751209
1699665558660539100,32.4015390625,10,20,100,5.083000183105469,11.626541137695312,302.8445129394531,39,-51.1233212,-30.075103
1699665559664514600,33.4055146484375,10,20,100,5.25,8.197699546813965,302.7691345214844,38,-51.123304,-30.07511
1699665560666934500,34.4079345703125,10,20,100,5.5,3.129244089126587,0,38,-51.123257,-30.0751146
1699665561682229000,35.42322900390625,10,20,100,5.699999809265137,1.875806212425232,0.005656336899846792,40,-51.1232411,-30.075128
1699665562696216800,36.437216796875,10,20,100,5.699999809265137,1.113320231437683,6.247881856324966e-8,40,-51.1232325,-30.0751373
