time,seconds_elapsed,brightness
1699665527274000000,1.014999755859375,0.1411764770746231
1699665528273000000,2.014,0.1411764770746231
1699665529342000000,3.083000244140625,0.1411764770746231
1699665530342000000,4.083000244140625,0.1411764770746231
1699665531339000000,5.08,0.1411764770746231
1699665532336000000,6.077,0.1411764770746231
1699665533335000000,7.076,0.1411764770746231
1699665534335000000,8.076,0.1411764770746231
1699665535334000000,9.075000244140625,0.1411764770746231
1699665536332000000,10.073,0.1411764770746231
1699665537331000000,11.072,0.1411764770746231
1699665538332000000,12.073,0.1411764770746231
1699665539332000000,13.073,0.1411764770746231
1699665540330000000,14.070999755859376,0.1411764770746231
1699665541329000000,15.07,0.1411764770746231
1699665542328000000,16.069,0.1411764770746231
1699665543326000000,17.067000244140626,0.1411764770746231
1699665544325000000,18.066,0.1411764770746231
1699665545325000000,19.066,0.1411764770746231
1699665546322000000,20.062999755859376,0.1411764770746231
1699665547324000000,21.065,0.1411764770746231
1699665548324000000,22.065,0.1411764770746231
1699665549324000000,23.065,0.1411764770746231
1699665550320000000,24.061,0.1411764770746231
1699665551322000000,25.062999755859376,0.1411764770746231
1699665552318000000,26.059000244140623,0.1411764770746231
1699665553317000000,27.058,0.1411764770746231
1699665554317000000,28.058,0.1411764770746231
1699665555315000000,29.056,0.1411764770746231
1699665556314000000,30.054999755859374,0.1411764770746231
1699665557314000000,31.054999755859374,0.1411764770746231
1699665558313000000,32.054,0.1411764770746231
1699665559315000000,33.056,0.1411764770746231
1699665560311000000,34.052,0.1411764770746231
1699665561309000000,35.05,0.1411764770746231
1699665562309000000,36.05,0.1411764770746231
1699665563307000000,37.048,0.1411764770746231
