time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1699665526445818600,0.186818603515625,0.10810903459787369,0.0070671881549060345,0.08147016167640686,0.9907699823379517,-0.00366034428589046,-0.16369451582431793,-0.217672660946846
1699665526456166000,0.197165771484375,0.10810903459787369,0.0070671881549060345,0.08147016167640686,0.9907699823379517,-0.00366034428589046,-0.16369451582431793,-0.217672660946846
1699665526466526000,0.20752587890625,0.10811400413513184,0.0070711118169128895,0.08147008717060089,0.9907694458961487,-0.0036532781086862087,-0.16369520127773285,-0.2176821082830429
1699665526476497400,0.217497314453125,0.1081707775592804,0.006465890910476446,0.08084464073181152,0.9908186197280884,-0.004739317577332258,-0.16231539845466614,-0.21787047386169434
1699665526486550800,0.22755078125,0.34279322624206543,0.025966200977563858,0.0774788185954094,0.9358502626419067,-0.004578589927405119,-0.1635473370552063,-0.702601969242096
1699665526496545300,0.237545166015625,0.3406171202659607,0.02629513293504715,0.07740392535924911,0.9366414546966553,-0.003518997225910425,-0.16364197432994843,-0.6978687644004822
1699665526506611200,0.247611083984375,0.3424386978149414,0.026864830404520035,0.0768420398235321,0.9360071420669556,-0.0023674031253904104,-0.1629689484834671,-0.7016437649726868
1699665526516547600,0.257547607421875,0.3424386978149414,0.026864830404520035,0.0768420398235321,0.9360071420669556,-0.0023674031253904104,-0.1629689484834671,-0.7016437649726868
1699665526526526200,0.267526123046875,0.3424386978149414,0.026864830404520035,0.0768420398235321,0.9360071420669556,-0.0023674031253904104,-0.1629689484834671,-0.7016437649726868
1699665526536933600,0.27793359375,0.3424386978149414,0.026864830404520035,0.0768420398235321,0.9360071420669556,-0.0023674031253904104,-0.1629689484834671,-0.7016437649726868
1699665526546763800,0.287763671875,0.3424386978149414,0.026864830404520035,0.0768420398235321,0.9360071420669556,-0.0023674031253904104,-0.1629689484834671,-0.7016437649726868
1699665526556577800,0.297577880859375,0.3424386978149414,0.026864830404520035,0.0768420398235321,0.9360071420669556,-0.0023674031253904104,-0.1629689484834671,-0.7016437649726868
1699665526566482400,0.307482421875,0.3424386978149414,0.026864830404520035,0.0768420398235321,0.9360071420669556,-0.0023674031253904104,-0.1629689484834671,-0.7016437649726868
1699665526576574200,0.31757421875,0.34192556142807007,0.026213426142930984,0.07673422992229462,0.9362220764160156,-0.003436794737353921,-0.16231848299503326,-0.7006147503852844
1699665526586539000,0.3275390625,0.34192556142807007,0.026213426142930984,0.07673422992229462,0.9362220764160156,-0.003436794737353921,-0.16231848299503326,-0.7006147503852844
1699665526596485000,0.337485107421875,0.34192556142807007,0.026213426142930984,0.07673422992229462,0.9362220764160156,-0.003436794737353921,-0.16231848299503326,-0.7006147503852844
1699665526606442000,0.34744189453125,0.34214264154434204,0.026253139600157738,0.07672464102506638,0.9361424446105957,-0.0033927951008081436,-0.16232696175575256,-0.7010753154754639
1699665526616438500,0.3574384765625,0.3411780893802643,0.026179499924182892,0.07674681395292282,0.9364945888519287,-0.0033791684545576572,-0.16232158243656158,-0.6990136504173279
1699665526626442200,0.367442138671875,0.3411805033683777,0.02618674747645855,0.07674457877874374,0.9364936947822571,-0.003364291973412037,-0.16232232749462128,-0.6990175843238831
1699665526636435700,0.377435791015625,0.3397464454174042,0.025608696043491364,0.07726144045591354,0.936988353729248,-0.004569011740386486,-0.16290664672851562,-0.6960732340812683
1699665526646432300,0.387432373046875,0.3395255208015442,0.026349494233727455,0.07727865129709244,0.9370465874671936,-0.0031365484464913607,-0.1634468287229538,-0.6955007314682007
1699665526656411100,0.3974111328125,0.34274888038635254,0.02662433683872223,0.0771910548210144,0.9358717799186707,-0.003121984889730811,-0.16345971822738647,-0.7023840546607971
1699665526666404000,0.407404052734375,0.3427540063858032,0.02663225308060646,0.0771917849779129,0.9358696341514587,-0.0031083959620445967,-0.16346654295921326,-0.7023940682411194
1699665526676417500,0.41741748046875,0.3425978422164917,0.026629744097590446,0.07719606906175613,0.9359265565872192,-0.0030886265449225903,-0.16347342729568481,-0.7020589709281921
1699665526686437400,0.427437255859375,0.34260591864585876,0.026632258668541908,0.07719626277685165,0.9359233975410461,-0.0030854258220642805,-0.16347545385360718,-0.7020760178565979
1699665526696565800,0.437565673828125,0.34277260303497314,0.026652351021766663,0.07718957960605621,0.9358623623847961,-0.0030720452778041363,-0.16347619891166687,-0.7024310827255249
1699665526706684400,0.447684326171875,0.3427789509296417,0.026650773361325264,0.0771900936961174,0.9358601570129395,-0.0030765042174607515,-0.16347606480121613,-0.7024450898170471
1699665526716693800,0.45769384765625,0.3439147472381592,0.026753179728984833,0.07715483754873276,0.9354432225227356,-0.0030579851008951664,-0.16347673535346985,-0.7048713564872742
1699665526726668800,0.467668701171875,0.34392011165618896,0.026758244261145592,0.07715345174074173,0.9354411959648132,-0.003048368962481618,-0.1634775996208191,-0.704882025718689
1699665526736679000,0.477678955078125,0.3427721858024597,0.02666553296148777,0.07718420773744583,0.9358625411987305,-0.0030432327184826136,-0.1634751707315445,-0.7024277448654175
1699665526746711000,0.4877109375,0.3427775800228119,0.026666222140192986,0.07718965411186218,0.9358602166175842,-0.003046685131266713,-0.16348591446876526,-0.7024399638175964
1699665526756670500,0.49767041015625,0.34278276562690735,0.02667306736111641,0.07718753814697266,0.9358583092689514,-0.003033142304047942,-0.16348662972450256,-0.7024499177932739
1699665526766712300,0.50771240234375,0.3427880108356476,0.02668115496635437,0.07718828320503235,0.9358561038970947,-0.0030192628037184477,-0.16349361836910248,-0.7024602293968201
