time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1697853778064872000,0.149871826171875,0.10676827281713486,0.018373699858784676,0.07494615018367767,0.9912850856781006,0.020666617900133133,-0.1531069427728653,-0.21300140023231506
1697853778074627000,0.159626953125,0.10676827281713486,0.018373699858784676,0.07494615018367767,0.9912850856781006,0.020666617900133133,-0.1531069427728653,-0.21300140023231506
1697853778085006000,0.170006103515625,0.1067715659737587,0.018379544839262962,0.07494184374809265,0.9912849068641663,0.020678747445344925,-0.1530996710062027,-0.2130071222782135
1697853778094609000,0.17960888671875,0.10677473247051239,0.018379706889390945,0.07493839412927628,0.9912848472595215,0.02067931555211544,-0.1530928760766983,-0.21301349997520447
1697853778104747000,0.1897470703125,0.3479541838169098,0.036292195320129395,0.0680941566824913,0.9343307018280029,0.02067379839718342,-0.15309834480285645,-0.7114104628562927
1697853778115666000,0.200666015625,0.36318570375442505,0.03739797696471214,0.06748722493648529,0.9285165667533875,0.02067170850932598,-0.15308807790279388,-0.7441156506538391
1697853778124641000,0.20964111328125,0.36318570375442505,0.03739797696471214,0.06748722493648529,0.9285165667533875,0.02067170850932598,-0.15308807790279388,-0.7441156506538391
1697853778134640000,0.21964013671875,0.36318570375442505,0.03739797696471214,0.06748722493648529,0.9285165667533875,0.02067170850932598,-0.15308807790279388,-0.7441156506538391
1697853778144665000,0.2296650390625,0.36318570375442505,0.03739797696471214,0.06748722493648529,0.9285165667533875,0.02067170850932598,-0.15308807790279388,-0.7441156506538391
1697853778154584000,0.239583984375,0.36318570375442505,0.03739797696471214,0.06748722493648529,0.9285165667533875,0.02067170850932598,-0.15308807790279388,-0.7441156506538391
1697853778165429000,0.250428955078125,0.36107346415519714,0.0372469425201416,0.0675700381398201,0.9293400049209595,0.020677931606769562,-0.1530860960483551,-0.7395674586296082
1697853778177340000,0.26233984375,0.36334094405174255,0.037411533296108246,0.06747876107692719,0.9284559488296509,0.020677603781223297,-0.1530856490135193,-0.7444495558738708
1697853778190832400,0.275832275390625,0.363350510597229,0.03741002082824707,0.0674712210893631,0.9284527897834778,0.02067870832979679,-0.15307064354419708,-0.7444697618484497
1697853778206771000,0.29177099609375,0.3638092577457428,0.03744311258196831,0.0674525648355484,0.9282731413841248,0.02067837305366993,-0.15307015180587769,-0.74545818567276
1697853778217944000,0.302944091796875,0.36204174160957336,0.03731768578290939,0.06752219051122665,0.9289640188217163,0.020685186609625816,-0.15306954085826874,-0.7416508793830872
1697853778234662000,0.319661865234375,0.3620445430278778,0.03732092306017876,0.06751977652311325,0.9289629459381104,0.02069256827235222,-0.1530674248933792,-0.7416563630104065
1697853778244603000,0.329602783203125,0.36204439401626587,0.03731866180896759,0.06752025336027145,0.9289630651473999,0.020688001066446304,-0.15306667983531952,-0.7416563630104065
1697853778254589000,0.3395888671875,0.36013510823249817,0.037179168313741684,0.06759948283433914,0.9297047257423401,0.02068471908569336,-0.15307122468948364,-0.7375476956367493
1697853778264728000,0.34972802734375,0.36013782024383545,0.03717669099569321,0.0676000639796257,0.9297037124633789,0.020679179579019547,-0.1530705839395523,-0.7375538945198059
1697853778275123000,0.360123046875,0.36014097929000854,0.037179943174123764,0.06759842485189438,0.9297024607658386,0.020685968920588493,-0.15306992828845978,-0.7375602126121521
1697853778284598000,0.369597900390625,0.3601440489292145,0.03718310222029686,0.06759683042764664,0.9297012686729431,0.02069256268441677,-0.15306930243968964,-0.7375662922859192
1697853778294681000,0.37968115234375,0.3601468801498413,0.037184588611125946,0.06759918481111526,0.9296999573707581,0.020693177357316017,-0.15307484567165375,-0.7375724911689758
1697853778304846000,0.38984619140625,0.3601497709751129,0.037184953689575195,0.06759867072105408,0.9296988844871521,0.020693758502602577,-0.1530742198228836,-0.7375787496566772
1697853778314691000,0.399691162109375,0.35992857813835144,0.03716741129755974,0.06760650128126144,0.9297845363616943,0.02069174498319626,-0.15307125449180603,-0.7371028661727905
1697853778324603000,0.409602783203125,0.3599313497543335,0.037164896726608276,0.0676071047782898,0.9297836422920227,0.02068611979484558,-0.15307064354419708,-0.7371093034744263
1697853778334598000,0.419597900390625,0.3582913875579834,0.03704366832971573,0.06767624616622925,0.9304165244102478,0.020679717883467674,-0.153076171875,-0.733583390712738
1697853778344740000,0.429739990234375,0.3583005964756012,0.037048958241939545,0.06767746806144714,0.930412769317627,0.020687270909547806,-0.153082475066185,-0.73360276222229
1697853778354614000,0.439614013671875,0.35830602049827576,0.03705275431275368,0.06767871230840683,0.9304104447364807,0.020692618563771248,-0.15308767557144165,-0.7336141467094421
1697853778364603000,0.449602783203125,0.3583086133003235,0.03705136850476265,0.06768214702606201,0.9304092526435852,0.02068709023296833,-0.153093159198761,-0.7336202263832092
1697853778374735000,0.459735107421875,0.35831108689308167,0.037051424384117126,0.06768413633108139,0.9304081201553345,0.020685343071818352,-0.1530969738960266,-0.7336257696151733
1697853778384633000,0.469633056640625,0.3583139479160309,0.03705178573727608,0.0676836296916008,0.9304070472717285,0.020685920491814613,-0.15309636294841766,-0.7336317896842957
1697853778394670000,0.479670166015625,0.3583167493343353,0.03704821318387985,0.06768136471509933,0.9304062724113464,0.020680371671915054,-0.15308961272239685,-0.7336381077766418
1697853778404657000,0.489656982421875,0.35831978917121887,0.037047483026981354,0.06767799705266953,0.9304053783416748,0.020680926740169525,-0.15308283269405365,-0.7336444854736328
1697853778414670000,0.499670166015625,0.3583195209503174,0.03704630583524704,0.06768131256103516,0.9304052591323853,0.020676352083683014,-0.15308819711208344,-0.7336443662643433
