time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1700516968599620000,0.0576201171875,2.2017492571150514,-0.006080776501404655,-0.8906881849634835,0.039219278590046806,-0.4512080297755108,-0.05521773122987621,0.10403853624833491
1700516968609629000,0.06762890625,2.201412881493366,-0.005464819086112594,-0.8906359372068532,0.04003857334688337,-0.45135875841372963,-0.054890393950379084,0.10288934157998446
1700516968619639000,0.07763916015625,2.2012862212078654,-0.0062735312409361085,-0.8905833901772784,0.03878735771837187,-0.4514272645174813,-0.055094570162530394,0.10398399374650304
1700516968629648000,0.08764794921875,2.201083323601669,-0.005860953361100281,-0.8905442470438399,0.039611199992809494,-0.45149936508870325,-0.05517919824492625,0.10375753751484547
1700516968639658000,0.097657958984375,2.2009910676762705,-0.006027690177899725,-0.8905098798046001,0.03961220416308227,-0.4515255519202971,-0.05550218940314072,0.10448381052753557
1700516968649667000,0.1076669921875,2.200916473760986,-0.006456774014360289,-0.8905034240553996,0.03825753929877097,-0.45161207947172555,-0.05485046922417862,0.10370677166952082
1700516968659677000,0.117677001953125,2.200526533705234,-0.005020160363875278,-0.8904625551765881,0.040368942100265266,-0.45177359324490196,-0.05433132973208758,0.10147001688006975
1700516968669686000,0.12768603515625,2.2003273709716624,-0.005505145756598818,-0.8904045622428307,0.03959979877042253,-0.45187080367996646,-0.054425951533833006,0.10207462453510625
1700516968679696100,0.137696044921875,2.2004186931082246,-0.005775139680006584,-0.8904118621168113,0.03933710845582762,-0.4518232971251833,-0.054671829291344086,0.102760333299519
1700516968689706000,0.1477060546875,2.2003381069929375,-0.0051239197045257374,-0.8904285855446417,0.039866367612487644,-0.451882224965599,-0.053972020116363664,0.10091848975121583
1700516968699714800,0.15771484375,2.200105343096331,-0.0045684979540227474,-0.8903934662242574,0.04068590647412127,-0.45198150987369484,-0.05377077630322517,0.10005088669861045
1700516968709725000,0.167724853515625,2.2002163729908273,-0.0051347155124334565,-0.8904024461450673,0.03980798837174758,-0.4519397712965371,-0.053922274587198143,0.10083701470589221
1700516968719734000,0.177734130859375,2.200354321463442,-0.00442817466422932,-0.8904290883708962,0.04163965024834249,-0.45181845851843805,-0.05455733873533529,0.10133368026953266
1700516968729744000,0.187743896484375,2.2006947149704956,-0.005210526678067391,-0.8904719150057973,0.04076085623078587,-0.45165441281201135,-0.05514486664608755,0.10309917544653606
1700516968739756300,0.19775634765625,2.200740015237382,-0.004621469082658535,-0.8904997650961314,0.04164873253349881,-0.45162742503571196,-0.05496793974571916,0.10225031946818783
1700516968749766400,0.207766357421875,2.2008420881503716,-0.004090901026400419,-0.8905253697774812,0.042835506504285026,-0.45154927351840113,-0.05523742217733791,0.10225323385745035
1700516968759775500,0.217775390625,2.2013987569954,-0.004497719555569322,-0.8906140872629649,0.04292858416579527,-0.4512553858611118,-0.05616958247553054,0.10429907978913242
1700516968769785300,0.227785400390625,2.202015709179525,-0.004462745731271169,-0.8907446907976765,0.04322244257954351,-0.4509616454070472,-0.05645963371800497,0.10479901866786387
1700516968779794400,0.23779443359375,2.2018230937993315,-0.0037437731236203992,-0.8907273216813826,0.0441772665113076,-0.45104895375889414,-0.056087069456267034,0.1034783919724971
1700516968789804500,0.247804443359375,2.2020510437413194,-0.003849397664674321,-0.890763377784258,0.044364743090109245,-0.4509234142670025,-0.05651379949511799,0.10434164090106961
1700516968799813400,0.2578134765625,2.202235827152707,-0.004144310199479831,-0.890783351254798,0.044286151121928,-0.4508178483464783,-0.05701730153754256,0.10551245114772283
1700516968809823200,0.2678232421875,2.2024866252281496,-0.0038317179141068632,-0.8908274581556718,0.045373398064519115,-0.45065776209191577,-0.05761422481959026,0.10630234675190382
1700516968819832300,0.277832275390625,2.2025808043021797,-0.00455219213501302,-0.8908381501041692,0.04395533260554712,-0.4506477217766325,-0.05747481126259332,0.10670676365773853
1700516968829842400,0.287842529296875,2.202270205624254,-0.0038115029117716673,-0.8907976772803072,0.04488353757770391,-0.45079192562824494,-0.05702283747865096,0.1052220686162571
1700516968839851300,0.297851318359375,2.2021640578453594,-0.004229908202153365,-0.8907601555964174,0.04429194859622651,-0.4508414030219097,-0.05718764873861462,0.10589278328009014
1700516968849861400,0.307861328125,2.2023461117793506,-0.0044651789036976655,-0.8907833965962016,0.04423375174738844,-0.4507413631284728,-0.05759644926463899,0.10684034835905812
1700516968859870500,0.317870361328125,2.202121866004174,-0.0045879230674449305,-0.8907496682616702,0.043468640682243945,-0.45088470149905757,-0.05698255678525143,0.10584918162772111
1700516968869880300,0.32788037109375,2.2016773330439117,-0.004052990474840346,-0.8906806456740595,0.04386031963817689,-0.45110708429185253,-0.056337256286460385,0.10420214334126848
1700516968879889400,0.337889404296875,2.2015710098761008,-0.004750459020624274,-0.8906354742764353,0.042823559652206945,-0.4511616606706673,-0.056560125328766184,0.10522945570106615
1700516968889899500,0.3478994140625,2.2015020721920693,-0.004821224539975213,-0.890613789618889,0.042837172092831916,-0.45118486370933614,-0.05671001376152638,0.1055598988407156
1700516968899908400,0.357908447265625,2.20151710542501,-0.0045864363534167596,-0.8906109481535583,0.043581158200341766,-0.45114778666819993,-0.05706816089901022,0.10598770114980234
