time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1700516193999682000,-89.81731787109375,46.5918744802475,1.0447510663221076,-1,-30.075897610509955,42.34697663784027,-1,10.37296787968525,11.253664340294145,-51.12150064003148,0.056051548570394516
1700516283836081200,0.0190810546875,57.11290168762207,-1,-1,-30.076670938068418,52.868003845214844,-1,1414,6.827552318572998,-51.125024262439574,-1
1700516283874734800,0.05773486328125,57.120004653930664,-1,-1,-30.076715370336593,52.87510681152344,-1,1414,10.8002347946167,-51.12522383196557,-1
1700516290808716800,6.991716796875,53.70810550982917,5.730232868193697,148.75050736396838,-30.07557957503862,49.46320766742194,125.86411393576208,73.57717673001274,96.03985647025662,-51.122420814421695,1.4757332801818848
1700516291807717600,7.990717529296875,46.83030664269325,4.694895538368554,34.659776851440874,-30.075615339267966,42.585408800286025,119.29838138494938,46.168562000644826,7.579316135271081,-51.12237410861102,5.522339344024658
1700516292806718000,8.989718017578125,46.81392762472359,4.129756169420026,23.272026537449776,-30.075661324894813,42.56902978231636,115.33211272752489,38.92437440434806,8.050721560773892,-51.12229032709694,5.522339344024658
1700516293812717000,9.995717041015626,46.796110996486895,3.7530687579684296,17.490110351268466,-30.075695934275256,42.55121315407967,114.24859091198182,30.05351376647466,7.877010334423002,-51.12212004995818,7.552516937255859
1700516294762718700,10.94571875,46.792309931721576,3.337330500299788,13.649886677209318,-30.075726622423588,42.54741208931435,113.96905454052688,23.90961368703681,7.748361159015732,-51.122006142751424,9.193205833435059
1700516295712718000,11.895718017578124,46.806706539655906,3.231648201970375,11.910504509168804,-30.07574961590747,42.56180869724868,118.13794708251953,21.099236316486962,7.748449262563189,-51.12187637969665,11.27606201171875
1700516296662658800,12.845658935546876,46.80765339693419,2.6409327188136666,9.685090369705213,-30.07579340140464,42.562755554526966,118.4654769897461,18.376075577111376,7.716942017796344,-51.121783198628265,11.470029830932617
1700516297612632300,13.79563232421875,46.82580077010068,1.606717844948805,4.524161434410516,-30.075820331208767,42.58090292769345,118.4654769897461,12.035364563773827,7.677577714223962,-51.12168680828867,11.470029830932617
1700516298562619600,14.74561962890625,47.11490193011931,2.370000315758855,9.536618805043881,-30.075849234913754,42.87000408771208,114.90643310546875,10.699346350321997,7.659513735601254,-51.12157886085257,11.681388854980469
1700516299512624000,15.6956240234375,47.20374276851029,2.339438592982299,9.20631684781664,-30.075899071960915,42.95884492610306,114.90643310546875,9.820537999464069,9.075961808432764,-51.121479219210634,11.681388854980469
1700516300462624500,16.64562451171875,47.24408611605604,3.765151953868735,25.803521179249678,-30.075922719459772,42.99918827364881,114.90643310546875,9.562025802808783,10.658558955525494,-51.12142066176824,5.074461460113525
1700516301412622800,17.595622802734376,47.31192161384534,3.109364458622551,38.54246512497108,-30.07592458120079,43.067023771438116,114.90643310546875,9.464230485203393,11.760848148420129,-51.121416051606495,5.074461460113525
1700516302362625500,18.54562548828125,47.271271248321995,2.2888134364497508,73.76275295990513,-30.075924157546023,43.02637340591477,114.90643310546875,9.728647987913375,12.924016010464443,-51.121417100687516,0.1645003855228424
1700516303312631000,19.495631103515624,47.27127125766128,2.5589712158582687,180,-30.075924157544737,41.96686938311905,114.90643310546875,9.728647987913375,12.924016010464443,-51.121417100686834,0.1645003855228424
1700516304262637300,20.44563720703125,47.305575649254024,1.921077521874447,180,-30.075926410612947,42.00118998717517,114.90643310546875,9.549406026413736,13.715505101275474,-51.121411521495794,0.30034053325653076
1700516305212634600,21.395634521484375,47.31769932806492,1.732522818549422,180,-30.075912090809943,42.01330269873142,114.90643310546875,9.201993723451443,17.74661188572728,-51.12140285080838,0.09314226359128952
1700516306162637300,22.34563720703125,47.31799984164536,1.3575819570936607,-1,-30.075914034480462,42.01359176822007,-1,13.930825467633131,27.435843722674147,-51.12141428297075,0.0666372999548912
