time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1700516743000376300,-55.627623779296876,46.722883423790336,1.7634995231351296,-1,-30.075926637260068,41.41838856600225,-1,10.586694249991488,18.735462428068335,-51.12149078454078,0.2632799744606018
1700516798655201800,0.027201904296875,56.85333824157715,-1,-1,-30.076312994328024,52.60844039916992,-1,719.6221111407328,8.472994804382324,-51.1230494373534,-1
1700516798695487000,0.067487060546875,57.09851264953613,-1,-1,-30.07652520230165,52.853614807128906,-1,1037.5747330731494,11.597602844238281,-51.12401852308568,-1
1700516806623301000,7.995301025390625,44.48749218847333,4.913281062442457,85.01752136837028,-30.07557898245989,40.242594346066106,123.4275590365989,67.00026513048812,80.73672906546784,-51.12234891504559,2.4630701541900635
1700516807626303700,8.9983037109375,46.82449032372725,4.702497503235753,37.241634954837515,-30.07565977326163,42.57959248132002,117.5004767024891,57.056719101026744,7.5838595819962125,-51.12226844792634,5.593034744262695
1700516808629301000,10.001301025390624,46.77735951568324,4.4779324470651485,27.817310791669556,-30.075731100469675,42.53246167327601,119.86401925132432,53.005735825806006,8.085948919653024,-51.12218675846164,5.593034744262695
1700516809620301300,10.99230126953125,46.79008829308445,4.4032163860742575,22.926268157548062,-30.07563027822317,42.545190450677225,118.13794708251953,33.91089303488451,7.89388381078835,-51.12213294625813,7.121118068695068
1700516810570306300,11.942306396484375,46.78402825145623,3.7054344520934075,15.978138865113165,-30.075669064397644,42.539130409049,118.13794708251953,28.923521596843873,7.798270849153979,-51.12204955905768,8.431259155273438
1700516811520301800,12.8923017578125,46.769466275214576,3.214526336284948,9.88997158553112,-30.075682144245313,42.52456843280735,118.13794708251953,33.16825398064163,13.749057902390897,-51.121980765515936,11.09232234954834
1700516812470194400,13.8421943359375,46.76580800426675,3.018598133433596,8.391856702883008,-30.075755023062023,42.520910161859526,118.13794708251953,17.963027747802144,7.816161532758506,-51.12186475474323,12.129905700683594
1700516813420197400,14.792197265625,46.77438569241303,2.1376677644385165,5.787715347940343,-30.07579546273821,42.5294878500058,118.4654769897461,16.02116427007741,7.806686089083738,-51.12174073209577,12.129905700683594
1700516814370198300,15.7421982421875,46.79526053260667,1.8903306333976324,5.335652160816855,-30.075845931449486,42.55036269019944,118.4654769897461,14.15800510418804,7.7837308319991765,-51.1216321854526,12.129905700683594
1700516815320238000,16.692238037109377,46.78271734536211,2.30165015917328,6.827926516981939,-30.075895360674732,42.53781950295488,114.90643310546875,13.438016060591112,7.757682040459223,-51.12152721324522,12.047211647033691
1700516816270190600,17.642190673828125,46.66373980722322,3.8894361175435312,21.65429176613482,-30.075927138559063,42.418841964816,114.90643310546875,13.200606974476,7.701144213542741,-51.121468142321625,6.968491077423096
1700516817220187600,18.592187744140624,46.609306243163005,4.1746772763471,26.520754384107732,-30.07593985450343,42.36440840075578,152.0282036415515,13.073273999069572,9.065242521295144,-51.12146110092421,6.968491077423096
1700516818170187500,19.5421875,46.56689301773073,2.95088951211763,180,-30.07594176896118,42.3219951753235,167.31822089326656,13.074497340760828,10.42864867061489,-51.12146454907857,2.252319812774658
1700516819120182800,20.492182861328125,46.56689338479191,2.9508895121251513,180,-30.075931612991297,41.262453840114176,167.3182184516057,13.074497340760928,10.428648670614765,-51.121444201771865,2.2523198127745303
1700516820070182700,21.4421826171875,46.551790785975754,2.9325863745431806,180,-30.075924524701474,41.24732930678874,114.90643310546875,12.883862097694095,11.807211972213372,-51.12146175424666,0.8806602358818054
1700516821020178700,22.3921787109375,46.55843480117619,2.7158424044743743,180,-30.075936588025826,41.25397332198918,114.90643310546875,12.751574624364098,13.033379317525068,-51.12147433235906,0.12951485812664032
1700516822000181200,23.37218115234375,46.582627263851464,1.7119679467163955,180,-30.075939357550652,41.27817722875625,114.90643310546875,12.331474044656797,13.843319915593526,-51.12146849570114,0.16363023221492767
1700516823000186400,24.372186279296876,46.621245704591274,0.38516173310613083,180,-30.07594052957425,41.31679566949606,114.90643310546875,11.949837452744356,19.720104234667133,-51.12146370066845,0.0644102469086647
1700516824000185600,25.372185546875,46.60742410644889,0.32390311024331375,180,-30.075940904748137,41.302974071353674,114.90643310546875,11.5432674615399,19.36357038944305,-51.12146192705806,0.039993997663259506
