time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1700516322999653400,-103.4523466796875,47.41987677291036,0.7072353635449686,-1,-30.075943216739745,42.115449625998735,-1,10.097880199786337,24.558041783043286,-51.121446058346955,0.16169407963752747
1700516426474163000,0.022162841796875,57.11550331115723,-1,-1,-30.077224537468116,52.87060546875,-1,1414,6.024470806121826,-51.124830916527806,-1
1700516426516012000,0.064011962890625,57.12124443054199,-1,-1,-30.077183296195543,52.876346588134766,-1,1414,8.272851943969727,-51.12517688905074,-1
1700516433440224800,6.988224853515625,46.17113329584154,6.981380681352054,149.12673497011997,-30.07564067494588,41.926235453434316,110.54781576383895,89.30055004909774,80.00774580866812,-51.12236078657126,1.7321192026138306
1700516434447223600,7.9952236328125,46.823156323857404,4.578844928383591,39.780578223399814,-30.07561777158885,42.57825848145018,114.94069898904753,63.182819470313184,7.880600449370247,-51.12228519818856,4.846790790557861
1700516435455224000,9.00322412109375,46.83441512685437,3.9991320776585257,23.74197654732494,-30.075625903910097,42.58951728444714,117.79847976480893,46.128474708629156,8.007192319969521,-51.12219379972521,4.846790790557861
1700516436455224800,10.003224853515626,46.82180487214671,3.6449812082706905,18.081048752224447,-30.07568556857581,42.57690702973948,118.08004066872239,32.14564435120609,7.9291388046537365,-51.122131705309535,7.2672505378723145
1700516437455225000,11.00322509765625,46.83133054026072,3.262255376442146,13.550628759672803,-30.075709366508427,42.586432697853496,114.43526462624655,23.843126167167764,7.931502087052026,-51.12205499478216,9.579943656921387
1700516438454229200,12.002229248046875,46.836344019472534,3.715918644958523,13.778431534088671,-30.075722081218228,42.59144617706531,118.13794708251953,22.455975147330054,7.946963594793076,-51.12193557709617,11.110586166381836
1700516439451224800,12.999224853515624,46.81669079756842,3.0705791177173403,11.722311514879559,-30.075771211045524,42.57179295516119,118.4654769897461,20.59429559488552,7.955246099626811,-51.1218302572776,11.110586166381836
1700516440450225700,13.9982255859375,46.84361827314951,2.3439749329268253,6.585556320280093,-30.075804182672215,42.59872043074228,118.4654769897461,14.8044704829995,7.910876971159973,-51.121721601141765,11.261551856994629
1700516441450226400,14.998226318359375,46.87355709495595,2.021852162715858,5.665547203701441,-30.075868978998415,42.62865925254872,118.4654769897461,13.994497788878055,7.89625784611329,-51.1216229227394,12.231172561645508
1700516442451226600,15.9992265625,46.8786712228215,2.2981303608013772,7.076210735220646,-30.075876794076166,42.633773380414276,114.90643310546875,13.44630300033152,7.890427695983513,-51.12150094168785,11.14496898651123
1700516443451227600,16.9992275390625,46.69001041867972,4.24725077091778,32.000856524211656,-30.07590257589161,42.44511257627249,114.90643310546875,13.45231505500682,7.892496212154509,-51.121449447143284,11.14496898651123
1700516444453358600,18.001358642578126,46.66129421226274,3.870695313413003,48.942020675165864,-30.075912060257043,42.41639636985551,114.90643310546875,13.097677724964004,9.903025964171169,-51.12142967232049,5.082414627075195
1700516445403575000,18.951574951171875,46.661296050064266,3.8706953134415656,48.94202067516589,-30.075937342625924,41.356937567703426,115.86132049560547,13.097677724964274,9.903025964170814,-51.121388879879966,5.082414627073735
1700516446353165600,19.90116552734375,46.63831614237279,3.065240551433135,180,-30.075911499938485,41.33389614801854,114.90643310546875,13.316811481577922,11.890538121079285,-51.121428388993735,0.7813134789466858
1700516447303167700,20.851167724609375,46.64000159781426,2.4864608627303406,180,-30.07591073943966,41.33557015936822,114.90643310546875,11.981438307903028,12.65567927595822,-51.121435956947245,0.5981478095054626
1700516448253163300,21.801163330078126,46.62833865266293,1.9733114509216136,180,-30.075915858429614,41.32389577012509,114.90643310546875,17.16467578014426,21.733570136362026,-51.12144749652177,0.3184753954410553
1700516449203163600,22.75116357421875,46.5625045504421,1.6858610459158456,180,-30.075922243597322,41.258044024929404,114.90643310546875,10.28081885954127,15.222713877447882,-51.121460185356675,0.3184753954410553
1700516450153166800,23.701166748046877,46.526139977388084,1.346257275964122,180,-30.075923843207185,41.22166800778359,114.90643310546875,9.747536478098489,22.928538155188207,-51.12147562097552,0.18793955445289612
1700516451103173600,24.651173583984374,46.46874895785004,1.248723032999746,180,-30.075931753349074,41.16427031252533,114.90643310546875,9.458871225577028,22.870994940680028,-51.121478432791946,0.24493548274040222
1700516452053175800,25.60117578125,46.41937208734453,1.1314127315718279,180,-30.075919073920492,41.11489344201982,114.90643310546875,9.228814310334005,21.84102524775908,-51.12147525181808,0.03782612830400467
1700516453003174400,26.55117431640625,46.41428522858769,1.1324207569979856,180,-30.075917470734037,41.10980658326298,114.90643310546875,11.874347227304574,25.947652867522333,-51.12147922173046,0.08257006853818893
